"Tarih","PM10","SO2","NO2","O3"
"2017/10/26","35.06268","3.288444","3.999634","38.20219"
"2017/10/26","44.71853","3.192125","5.647353","33.36157"
"2017/10/26","57.42553","3.208219","11.70324","22.79361"
"2017/10/26","55.63508","3.248544","15.43057","17.83072"
"2017/10/25","74.18697","3.211411","11.40854","32.99635"
"2017/10/25","61.14407","3.218767","12.44779","26.41071"
"2017/10/25","71.94767","3.238436","13.85775","32.06322"
"2017/10/25","87.68741","3.287897","17.28204","24.04214"
"2017/10/25","92.77087","3.401311","19.48092","24.5855"
"2017/10/25","91.11457","3.603305","25.16343","19.60892"
"2017/10/25","90.5106","3.510164","21.32434","16.68766"
"2017/10/25","80.95319","3.52745","22.40006","35.57593"
"2017/10/25","98.85037","3.551886","18.86756","41.49976"
"2017/10/25","136.9156","3.654575","18.45039","37.33952"
"2017/10/25","251.8069","3.818039","19.83688","28.28936"
"2017/10/25","260.4243","4.497494","17.77372","25.36659"
"2017/10/25","275.5367","4.494125","15.38462","26.68581"
"2017/10/25","237.8019","4.665136","20.57987","16.97145"
"2017/10/25","141.5116","5.630989","29.00311","11.01245"
"2017/10/25","61.78754","4.788289","22.04342","20.59113"
"2017/10/25","36.42553","4.357508","8.980755","49.56963"
"2017/10/25","32","4.098725","3.074266","63.63379"
"2017/10/25","31.88527","3.723555","3.820001","63.37908"
"2017/10/25","31.57365","3.738061","3.759667","60.58984"
"2017/10/25","35.30966","3.613141","4.94094","55.87685"
"2017/10/25","31.14731","3.446116","5.92543","55.44378"
"2017/10/25","40.11522","3.436391","7.674138","52.75584"
"2017/10/25","41.22695","3.616141","12.97101","45.04333"
"2017/10/24","44.24823","3.829258","11.93747","48.40552"
"2017/10/24","57.21246","3.835422","13.27758","43.8564"
"2017/10/24","80.18439","4.069988","19.19001","29.50154"
"2017/10/24","68.49311","4.3697","22.89412","19.81831"
"2017/10/24","88.68224","3.941303","20.1978","23.99124"
"2017/10/24","94.69159","3.810028","24.55731","9.985255"
"2017/10/24","93.82764","3.467827","20.80028","7.31515"
"2017/10/24","49.04673","3.486305","21.6345","17.62454"
"2017/10/24","69.36646","3.84123","22.70551","33.73843"
"2017/10/24","105.4251","3.8323","23.11471","24.14593"
"2017/10/24","115.4278","4.378289","25.52469","10.36556"
"2017/10/24","56.77054","4.670849","19.12463","24.46115"
"2017/10/24","60.21986","4.13123","8.953497","49.40284"
"2017/10/24","99.85269","4.014653","12.19186","40.20303"
"2017/10/24","83.77196","4.619033","23.89958","17.0373"
"2017/10/24","25.82011","4.200169","20.13243","22.40957"
"2017/10/24","9","3.550519","10.65019","37.29202"
"2017/10/24","9.114731","3.333047","2.833205","52.63877"
"2017/10/24","10.34043","3.252219","3.014754","50.24174"
"2017/10/24","13.22695","3.11578","2.94741","46.46274"
"2017/10/24","14.76803","3.137436","4.331911","39.66568"
"2017/10/24","13.7464","3.149955","4.826078","39.93373"
"2017/10/24","20.46802","3.234769","4.963593","42.835"
"2017/10/24","24.34992","3.275889","5.001772","43.24208"
"2017/10/23","28.03738","3.17083","5.757601","39.19815"
"2017/10/23","36.11544","3.25763","8.698347","29.58357"
"2017/10/23","39.078","3.322186","10.28302","25.40596"
"2017/10/23","53.92725","3.287436","11.8649","27.04559"
"2017/10/23","47.49787","3.4223","15.71966","24.15289"
"2017/10/23","55.67281","3.141272","14.52313","31.72843"
"2017/10/23","29.54043","3.132739","16.94822","40.99726"
"2017/10/23","26.6959","3.198089","9.538322","75.77112"
